,true_is_max,true_dist_from_max,true_average_dist_from_max,true_average_dist,true_temp,random_choiceis_max,random_choicedist_from_max,random_choiceaverage_dist_from_max,random_choiceaverage_dist,random_choicetemp,random_probabilitiesis_max,random_probabilitiesdist_from_max,random_probabilitiesaverage_dist_from_max,random_probabilitiesaverage_dist,random_probabilitiestemp,best_is_max,best_dist_from_max,best_average_dist_from_max,best_average_dist,best_temp,all_one_is_max,all_one_dist_from_max,all_one_average_dist_from_max,all_one_average_dist,all_one_temp
0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.36787944117144233,0,0.6065308113452414,0.6065308113452414,0.3736703152245846,0.7165313105737893,0,0.0,0.0,0.0,0.0,1,1.0,0.3128669865266,0.3128669865266,0.5427474811642219
1,1,1.0,0.864411168314059,0.6474842794458542,0.8835481197356343,0,0.4168620652727886,0.4168620652727886,0.4168620652727886,0.6270890852730561,0,8.315403605754831e-07,8.315403605754831e-07,0.37129407313572066,0.39324072086859824,1,1.0,0.864411168314059,0.6471950771220932,0.8835481197356343,1,1.0,0.32934741689219205,0.32934741689219205,0.5704724952032341
2,1,1.0,0.8582656685559917,0.6237768066500864,0.8824969025845955,0,0.4895417095101791,0.4895417095101791,0.4895417095101791,0.6592406302004438,0,0.9131007238285486,0.9131007238285486,0.3412057820677746,0.9200444146293233,1,1.0,1.0,0.5938954580415914,1.0,1,1.0,0.30433016053194356,0.30433016053194356,0.5538235798307587
3,1,1.0,1.0,0.8526357721726786,1.0,0,0.4895417095101791,0.4895417095101791,0.4895417095101791,0.6592406302004438,0,0.8187307694525954,0.8187307694525953,0.696839357596574,0.8464817248906141,1,1.0,1.0,0.8499793001570305,1.0,1,1.0,0.678136954234264,0.678136954234264,0.760839132311293
4,1,1.0,0.8205369169077374,0.47662786661525525,0.853565212805321,0,0.22313021593096755,0.22313021593096755,0.22313021593096755,0.5488116360940265,0,0.06392790515711627,0.06392790515711627,0.3765838154219778,0.4803053010897994,1,1.0,0.8926223711365951,0.5335875392411777,0.9048374180359596,1,1.0,0.3339068281454842,0.3339068281454842,0.5791252178121616
5,0,0.6411804200931809,0.5180003533974052,0.6304047821197329,0.6732729930152447,0,0.5352614703362857,0.5352614703362857,0.5352614703362857,0.6807123983233854,0,0.6411804200931809,0.6411804200931809,0.6383490728327633,0.7351414805916845,1,1.0,0.8656737055274443,0.7361967734764348,0.884195644895183,1,1.0,0.6435858923271957,0.6435858923271957,0.742554609489168
6,1,1.0,0.7012891391128115,0.7012891391128115,0.7788007830714049,0,0.030197436267759312,0.030197436267759312,0.030197436267759312,0.45942582403592663,0,0.030197436267759312,0.030197436267759312,0.24357606283429756,0.45942582403592663,1,1.0,0.7012891391128115,0.7012891391128115,0.7788007830714049,1,1.0,0.34770844364678855,0.34770844364678855,0.5737534207374327
7,0,0.7514773237478248,0.6790040170023368,0.5909065718949018,0.7574651283969664,0,0.28650488639293076,0.28650488639293076,0.28650488639293076,0.5737534207374327,0,0.28650488639293076,0.28650488639293076,0.4144096314936266,0.5737534207374327,1,1.0,0.7790609030630484,0.6649297463375504,0.8232919154257804,1,1.0,0.4714975642991197,0.4714975642991197,0.6525284202498707
8,0,0.6514390974150751,0.5824281367470037,0.37251660221154503,0.7046880897187134,0,0.22313024382223465,0.22313024382223465,0.22313024382223465,0.5488116360940265,0,0.3678795147473232,0.3678795147473232,0.3888667965205365,0.6065306597126334,0,0.6514390974150751,0.5824281367470037,0.5585275481033228,0.7046880897187134,1,1.0,0.4608069861944257,0.4608069861944257,0.6447524148071964
9,0,0.4895417095101791,0.4895417095101791,0.6099678517834032,0.6592406302004438,0,1.6701884509781084e-05,1.6701884509781084e-05,1.6701884509781084e-05,0.39984965434484737,0,0.13533535090425433,0.13533535090425433,0.41133699558415215,0.513417119032592,0,0.4895417095101791,0.4895417095101791,0.6226055298574921,0.6592406302004437,1,1.0,0.4011019504019422,0.4011019504019422,0.6065306597126334
