,matched,score
0,10,0.6065306597126334
1,6,0.7613003866968737
2,4,0.5737534207374327
3,1,0.4723665527410147
4,5,0.9048374180359596
5,1,0.7744861083592838
6,3,0.530819450562014
7,3,0.7165313105737893
8,4,0.7788007830714049
9,6,0.4723665527410147
10,0,0.6589469164025854
11,2,0.7828961327286179
12,1,0.8187307530779818
13,0,0.0
14,6,0.811936346150635
15,1,0.6713682397956895
16,1,0.0
17,6,0.4856717852477124
18,4,0.6065306597126334
19,1,0.0
20,12,0.4617520257827378
21,1,0.8290291181804004
22,1,0.5894464348241792
23,3,0.6065306597126334
24,3,0.6411803884299546
25,3,0.5488116360940265
26,1,0.7788007830714049
27,1,0.8221732038814473
28,2,0.45206043879555236
29,17,0.8725252928694238
30,3,0.8290291181804004
31,1,0.7408182206817179
32,4,0.7788007830714049
33,5,0.8725252928694238
34,2,0.4532965231237058
35,1,0.8607079764250578
36,3,0.7369797929147468
37,7,0.6065306597126334
38,4,0.7046880897187134
39,6,0.6347364189402819
40,10,0.6152575700805322
41,1,0.0
42,6,0.6514390575310556
43,5,0.8337529180751806
44,4,0.8607079764250578
45,3,0.5187931656538893
46,1,0.513417119032592
47,2,0.8290291181804004
48,1,0.6592406302004438
49,3,0.8607079764250578
50,13,0.7408182206817179
51,1,0.7881276277453111
52,2,0.5538235798307587
53,2,0.7408182206817179
54,3,0.7788007830714049
55,6,0.4557940183280172
56,0,0.0
57,9,0.7903383629814982
58,2,0.7165313105737893
59,4,0.8071177470053893
60,9,0.9200444146293233
61,5,0.5795782787848095
62,4,0.7316156289466418
63,3,0.7613003866968737
64,3,0.6930406200864415
65,10,0.7165313105737893
66,11,0.8824969025845955
67,1,0.5817778142098083
68,6,0.6514390575310556
69,0,0.6347364189402818
70,4,0.7871659101981597
71,0,0.7408182206817179
72,2,0.6065306597126334
73,1,0.6872892787909722
74,0,0.5454955638202434
75,10,0.6996725373751304
76,3,0.8187307530779818
77,3,0.9048374180359596
78,4,0.6872892787909722
79,11,0.6411803884299546
80,1,0.42269216334072857
81,3,0.5769498103804866
82,2,0.846481724890614
83,3,0.7408182206817179
84,1,0.6026049086745107
85,0,0.0
86,1,0.7574651283969664
87,14,0.7408182206817179
88,11,0.8607079764250578
89,5,0.4297960674895163
90,3,0.7967034698934616
91,6,0.0
92,1,0.9355069850316178
93,10,0.7574651283969664
94,4,0.7639669352423402
95,1,0.8041666799260786
96,1,0.5866462195100318
97,1,0.3972947131977113
98,4,0.7788007830714049
99,3,0.6769542978943918
100,3,0.6951439283988787
101,1,0.4856717852477124
102,1,0.6592406302004438
103,2,0.7303103382513573
104,12,0.664870319704396
105,5,0.6376281516217733
106,17,0.6347364189402819
107,1,0.7716229467154109
108,6,0.6065306597126334
109,1,0.0
110,7,0.6872892787909722
111,2,0.876456564149045
112,1,0.7659283383646487
113,3,0.751477293075286
114,1,0.5272924240430485
115,10,0.6065306597126334
116,6,0.4856717852477124
117,2,0.7408182206817179
118,7,0.5795782787848095
119,1,0.5737534207374327
120,15,0.6065306597126334
121,1,0.5866462195100318
122,11,0.6753170840259016
123,1,0.5795782787848095
