mol1ID,mol2ID,mol1smile,mol2smile,delta_mass,#_matched_peaks,#_shifted_peaks,#_unshifted_peaks,Closest_Max_Atom_Distance,Count_Max,Is_Max,cosine,pre_helper,post_sirius,post_helper,best_score,random_guess,random_prob,url
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010117832,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010109541,Cc1c(-c2cccc(Cl)c2)c(=O)oc2cc(O)ccc12,O=c1oc2cc(O)ccc2c(-c2ccccc2)c1-c1cccc(Cl)c1,62.01599999999996,25,22,3,0.0,5.0,1,0.9245661991398361,0.8187307530779818,0.9048374180359595,0.9048374180359595,0.9048374180359595,0.6065306597126334,0.8187307530779818,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010117832&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010109541&SMILES1=Cc1c%28-c2cccc%28Cl%29c2%29c%28%3DO%29oc2cc%28O%29ccc12&SMILES2=O%3Dc1oc2cc%28O%29ccc2c%28-c2ccccc2%29c1-c1cccc%28Cl%29c1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010109468,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010121929,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,125.89699999999993,25,17,8,0.0,6.0,1,0.510828046733686,0.8684670430264547,0.844314039201216,0.844314039201216,0.884195644895183,0.7939226578179512,0.8574039191604412,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010109468&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010121929&SMILES1=NC%28Cc1cc%28I%29c%28Oc2ccc%28O%29c%28I%29c2%29c%28I%29c1%29C%28%3DO%29O&SMILES2=NC%28Cc1cc%28I%29c%28Oc2cc%28I%29c%28O%29c%28I%29c2%29c%28I%29c1%29C%28%3DO%29O
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010121884,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010115784,CC=Cc1ccc(OCC(=O)O)c(OC)c1,CC=Cc1ccc(OCC(=O)OC)c(OC)c1,14.014999999999986,32,2,30,0.0,1.0,1,0.995193482839156,1.0,1.0,1.0,1.0,0.5488116360940265,0.5488116360940265,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010121884&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010115784&SMILES1=CC%3DCc1ccc%28OCC%28%3DO%29O%29c%28OC%29c1&SMILES2=CC%3DCc1ccc%28OCC%28%3DO%29OC%29c%28OC%29c1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010103762,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010115018,Cc1nccc2c1[nH]c1ccccc12,COc1ccc2c(c1)[nH]c1c(C)nccc12,30.00999999999999,4,4,0,0.0,9.0,1,0.8551899129840328,0.6904785504771092,0.6904785504771092,0.6904785504771092,0.6904785504771092,0.513417119032592,0.7165313105737893,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010103762&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010115018&SMILES1=Cc1nccc2c1%5BnH%5Dc1ccccc12&SMILES2=COc1ccc2c%28c1%29%5BnH%5Dc1c%28C%29nccc12
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010105327,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010106290,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,58.004999999999995,34,6,28,0.0,1.0,0,0.9951205126265684,0.6347364189402819,0.6347364189402819,0.6347364189402819,0.6347364189402819,0.8337529180751806,0.48322508118982543,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010105327&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010106290&SMILES1=CC%28%3DO%29C1CCC2C3CCC4%3DCC%28%3DO%29CCC4%28C%29C3CCC12C&SMILES2=CC%28%3DO%29OCC%28%3DO%29C1CCC2C3CCC4%3DCC%28%3DO%29CCC4%28C%29C3CCC12C
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010104595,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010116702,COc1cc(O)c(C(C)=O)c(OC)c1,COCC(=O)c1c(O)cc(OC)cc1OC,30.01000000000002,26,15,11,3.0,3.0,0,0.06847119086184288,0.5647181220077592,0.6514390575310556,0.5647181220077592,0.6065306597126334,0.4895416595569531,0.5647181220077593,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010104595&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010116702&SMILES1=COc1cc%28O%29c%28C%28C%29%3DO%29c%28OC%29c1&SMILES2=COCC%28%3DO%29c1c%28O%29cc%28OC%29cc1OC
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010106990,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010120848,Cc1cc(C)c2c(N)c(C(=O)N3CCCC3C(=O)O)sc2n1,Cc1cc(C(F)(F)F)c2c(N)c(C(=O)N3CCCC3C(=O)O)sc2n1,53.97199999999998,9,6,3,4.0,4.0,0,0.5278767843347718,0.6218850564650201,0.6930406200864415,0.6930406200864415,0.6930406200864415,0.7408182206817179,0.5488116360940265,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010106990&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010120848&SMILES1=Cc1cc%28C%29c2c%28N%29c%28C%28%3DO%29N3CCCC3C%28%3DO%29O%29sc2n1&SMILES2=Cc1cc%28C%28F%29%28F%29F%29c2c%28N%29c%28C%28%3DO%29N3CCCC3C%28%3DO%29O%29sc2n1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010108237,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010121479,COc1cc2ccc(=O)oc2cc1O,COc1cc2ccc(=O)oc2c(O)c1O,15.994,17,16,1,0.0,6.0,1,0.9250324002554577,0.7627436097469505,0.7627436097469505,0.7627436097469505,0.7627436097469505,0.8824969025845955,0.6872892787909722,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010108237&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010121479&SMILES1=COc1cc2ccc%28%3DO%29oc2cc1O&SMILES2=COc1cc2ccc%28%3DO%29oc2c%28O%29c1O
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010126991,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010110548,NCCc1c[nH]c2ccccc12,NC(Cc1c[nH]c2ccccc12)C(=O)O,43.99000000000001,4,2,2,1.0,1.0,0,0.9317022839610312,0.8668778997501816,0.6832104226749482,0.0,0.0,0.5647181220077593,0.6514390575310557,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010126991&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010110548&SMILES1=NCCc1c%5BnH%5Dc2ccccc12&SMILES2=NC%28Cc1c%5BnH%5Dc2ccccc12%29C%28%3DO%29O
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010103000,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010126601,NCCc1ccc(O)c(O)c1,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,43.98999999999998,5,4,1,0.0,0.0,0,0.32083009865772316,0.0,0.6751251871527363,0.6751251871527363,0.6751251871527363,0.8668778997501816,0.42437284567694994,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010103000&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010126601&SMILES1=NCCc1ccc%28O%29c%28O%29c1&SMILES2=N%5BC%40%40H%5D%28Cc1ccc%28O%29c%28O%29c1%29C%28%3DO%29O
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010113681,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010113901,O=C(c1cc(=O)n(CC(O)=Nc2cccc(Cl)c2)c2ccccc12)N1CCCC1,COc1ccc(N=C(O)Cn2c(=O)cc(C(=O)N3CCCC3)c3ccccc32)cc1Cl,30.00999999999999,8,0,8,6.0,1.0,0,0.9974435491921704,0.6514390575310556,0.8746525375533846,0.8746525375533846,0.8746525375533846,0.42437284567695,0.4557940183280172,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010113681&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010113901&SMILES1=O%3DC%28c1cc%28%3DO%29n%28CC%28O%29%3DNc2cccc%28Cl%29c2%29c2ccccc12%29N1CCCC1&SMILES2=COc1ccc%28N%3DC%28O%29Cn2c%28%3DO%29cc%28C%28%3DO%29N3CCCC3%29c3ccccc32%29cc1Cl
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010103210,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010126626,NCCCC[C@H](N)C(=O)O,CC(O)=N[C@@H](CCCCN)C(=O)O,42.00999999999999,8,1,7,4.0,3.0,0,0.6737361039644579,0.4895416595569531,0.4557940183280172,0.4557940183280172,0.4557940183280172,0.6514390575310556,0.5647181220077593,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010103210&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010126626&SMILES1=NCCCC%5BC%40H%5D%28N%29C%28%3DO%29O&SMILES2=CC%28O%29%3DN%5BC%40%40H%5D%28CCCCN%29C%28%3DO%29O
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010107633,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010116058,COC(=O)c1ccc2c(c1)C(=O)C(=Cc1ccc(O)cc1)O2,COC(=O)c1ccc2c(c1)C(=O)C(=Cc1ccc(OCCC(C)C)cc1)O2,70.07799999999997,35,1,34,0.0,1.0,1,0.7462170361088386,1.0,1.0,1.0,1.0,0.39729471319771126,0.39729471319771126,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010107633&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010116058&SMILES1=COC%28%3DO%29c1ccc2c%28c1%29C%28%3DO%29C%28%3DCc1ccc%28O%29cc1%29O2&SMILES2=COC%28%3DO%29c1ccc2c%28c1%29C%28%3DO%29C%28%3DCc1ccc%28OCCC%28C%29C%29cc1%29O2
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010102953,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010114448,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,15.995000000000005,5,2,3,2.0,2.0,0,0.9990983122974466,0.7165313105737893,0.7165313105737893,0.7165313105737893,0.7165313105737893,0.6411803884299546,0.8007374029168081,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010102953&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010114448&SMILES1=N%3Dc1nc%28O%29c2ncn%28%5BC%40H%5D3C%5BC%40H%5D%28O%29%5BC%40%40H%5D%28CO%29O3%29c2%5BnH%5D1&SMILES2=N%3Dc1nc%28O%29c2ncn%28C3OC%28CO%29C%28O%29C3O%29c2%5BnH%5D1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010117471,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010119046,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,14.01600000000002,13,8,5,1.0,5.0,0,0.8840083542722977,0.8025187979624785,0.6421989432412342,0.522045776761016,0.8324906126116026,0.7408182206817179,0.5488116360940265,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010117471&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010119046&SMILES1=O%3Dc1cc%28-c2ccc%28O%29cc2%29oc2cc%28O%29cc%28O%29c12&SMILES2=COc1ccc%28-c2cc%28%3DO%29c3c%28O%29cc%28O%29cc3o2%29cc1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010110808,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010123035,Cc1ccc(NC(=O)CSc2nc3c(O)ncnc3n2-c2ccc(C)cc2)cc1,CCc1ccc(NC(=O)CSc2nc3c(O)ncnc3n2-c2ccc(C)cc2)cc1,14.01600000000002,10,2,8,0.0,7.0,1,0.8422211403261636,0.8668778997501816,0.8668778997501816,0.8668778997501816,0.8668778997501816,0.6703200460356393,0.8187307530779818,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010110808&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010123035&SMILES1=Cc1ccc%28NC%28%3DO%29CSc2nc3c%28O%29ncnc3n2-c2ccc%28C%29cc2%29cc1&SMILES2=CCc1ccc%28NC%28%3DO%29CSc2nc3c%28O%29ncnc3n2-c2ccc%28C%29cc2%29cc1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010111796,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010124544,COc1ccc(N=C(O)CSc2nc3c(O)ncnc3n2C)c(OC)c1,COc1ccc(N=C(O)CSc2nc3c(O)ncnc3n2-c2ccc(C)cc2)c(OC)c1,76.03199999999998,12,6,6,5.0,1.0,0,0.7946419582574228,0.6996725373751304,0.6996725373751304,0.6996725373751304,0.6996725373751302,0.5647181220077593,0.4895416595569531,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010111796&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010124544&SMILES1=COc1ccc%28N%3DC%28O%29CSc2nc3c%28O%29ncnc3n2C%29c%28OC%29c1&SMILES2=COc1ccc%28N%3DC%28O%29CSc2nc3c%28O%29ncnc3n2-c2ccc%28C%29cc2%29c%28OC%29c1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010104370,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010115477,COc1cccc2oc(-c3ccccc3)cc(=O)c12,COc1cccc(-c2cc(=O)c3c(OC)cccc3o2)c1,30.00999999999999,10,5,5,0.0,8.0,1,0.7828858696314951,0.8187307530779818,0.6703200460356393,0.6703200460356393,0.6703200460356393,0.4965853037914095,0.6065306597126334,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010104370&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010115477&SMILES1=COc1cccc2oc%28-c3ccccc3%29cc%28%3DO%29c12&SMILES2=COc1cccc%28-c2cc%28%3DO%29c3c%28OC%29cccc3o2%29c1
mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010106204,mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010121278,O=c1c(O)c(-c2ccccc2)oc2ccccc12,O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12,15.995000000000005,10,9,1,3.0,7.0,0,0.9586678104474063,0.4667764816516814,0.4667764816516814,0.4667764816516814,0.8464817248906141,0.36787944117144233,0.7165313105737893,http://reza.cs.ucr.edu/?USI1=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010106204&USI2=mzspec%3AGNPS%3ABERKELEY-LAB%3Aaccession%3ACCMSLIB00010121278&SMILES1=O%3Dc1c%28O%29c%28-c2ccccc2%29oc2ccccc12&SMILES2=O%3Dc1c%28O%29c%28-c2ccc%28O%29cc2%29oc2ccccc12
